STATE_UT,YEAR,DISTRICT,MURDER
KARNATAKA,2005,TOTAL,1609
KARNATAKA,2006,TOTAL,1627
KARNATAKA,2007,TOTAL,1538
KARNATAKA,2008,TOTAL,1698
KARNATAKA,2009,TOTAL,1702
KARNATAKA,2010,TOTAL,1805
KARNATAKA,2011,TOTAL,1820
KARNATAKA,2012,TOTAL,1860
KERALA,2001,TOTAL,472
KERALA,2002,TOTAL,454
KERALA,2003,TOTAL,435
KERALA,2004,TOTAL,417
KERALA,2005,TOTAL,388
KERALA,2006,TOTAL,393
KERALA,2007,TOTAL,367
KERALA,2008,TOTAL,362
KERALA,2009,TOTAL,343
KERALA,2010,TOTAL,363
KERALA,2011,TOTAL,365
KERALA,2012,TOTAL,374
LAKSHADWEEP,2001,LAKSHADWEEP,1
LAKSHADWEEP,2001,TOTAL,1
LAKSHADWEEP,2002,LAKSHADWEEP,0
LAKSHADWEEP,2002,TOTAL,0
LAKSHADWEEP,2003,LAKSHADWEEP,0
LAKSHADWEEP,2003,TOTAL,0
LAKSHADWEEP,2004,LAKSHADWEEP,0
LAKSHADWEEP,2004,TOTAL,0
LAKSHADWEEP,2005,LAKSHADWEEP,1
LAKSHADWEEP,2005,TOTAL,1
LAKSHADWEEP,2006,LAKSHADWEEP,0
LAKSHADWEEP,2006,TOTAL,0
LAKSHADWEEP,2007,LAKSHADWEEP,0
LAKSHADWEEP,2007,TOTAL,0
LAKSHADWEEP,2008,LAKSHADWEEP,1
LAKSHADWEEP,2008,TOTAL,1
LAKSHADWEEP,2009,LAKSHADWEEP,0
LAKSHADWEEP,2009,TOTAL,0
LAKSHADWEEP,2010,LAKSHADWEEP,0
LAKSHADWEEP,2010,TOTAL,0
LAKSHADWEEP,2011,LAKSHADWEEP,0
LAKSHADWEEP,2011,TOTAL,0
LAKSHADWEEP,2012,LAKSHADWEEP,0
LAKSHADWEEP,2012,TOTAL,0
MADHYA PRADESH,2001,TOTAL,2425
MADHYA PRADESH,2002,TOTAL,2395
MADHYA PRADESH,2003,TOTAL,2227
MADHYA PRADESH,2004,TOTAL,2379
MADHYA PRADESH,2005,TOTAL,2405
MADHYA PRADESH,2006,TOTAL,2309
MADHYA PRADESH,2007,TOTAL,2244
MADHYA PRADESH,2008,TOTAL,2322
MADHYA PRADESH,2009,TOTAL,2386
MADHYA PRADESH,2010,TOTAL,2423
MADHYA PRADESH,2011,TOTAL,2511
MADHYA PRADESH,2012,TOTAL,2373
MAHARASHTRA,2001,TOTAL,2839
MAHARASHTRA,2002,TOTAL,2768
MAHARASHTRA,2003,TOTAL,2772
MAHARASHTRA,2004,TOTAL,2696
MAHARASHTRA,2005,TOTAL,2621
MAHARASHTRA,2006,TOTAL,2656
MAHARASHTRA,2007,TOTAL,2693
MAHARASHTRA,2008,TOTAL,2795
MAHARASHTRA,2009,TOTAL,2653
MAHARASHTRA,2010,TOTAL,2744
MAHARASHTRA,2011,TOTAL,2818
MAHARASHTRA,2012,TOTAL,2712
MANIPUR,2001,TOTAL,209
MANIPUR,2002,TOTAL,165
MANIPUR,2003,TOTAL,150
MANIPUR,2004,TOTAL,159
MANIPUR,2005,TOTAL,256
MANIPUR,2006,TOTAL,205
MANIPUR,2007,TOTAL,240
MANIPUR,2008,TOTAL,187
MANIPUR,2009,TOTAL,131
MANIPUR,2010,TOTAL,92
MANIPUR,2011,TOTAL,78
MANIPUR,2012,TOTAL,83
MEGHALAYA,2001,TOTAL,164
MEGHALAYA,2002,TOTAL,167
MEGHALAYA,2003,TOTAL,175
MEGHALAYA,2004,TOTAL,124
MEGHALAYA,2005,TOTAL,134
MEGHALAYA,2006,TOTAL,157
MEGHALAYA,2007,TOTAL,114
MEGHALAYA,2008,TOTAL,126
MEGHALAYA,2009,TOTAL,128
MEGHALAYA,2010,TOTAL,134
MEGHALAYA,2011,TOTAL,170
MEGHALAYA,2012,TOTAL,137
MIZORAM,2001,TOTAL,31
MIZORAM,2002,TOTAL,29
MIZORAM,2003,TOTAL,46
MIZORAM,2004,TOTAL,35
MIZORAM,2005,TOTAL,24
MIZORAM,2006,TOTAL,25
MIZORAM,2007,TOTAL,43
MIZORAM,2008,TOTAL,35
MIZORAM,2009,TOTAL,31
MIZORAM,2010,TOTAL,48
MIZORAM,2011,TOTAL,26
MIZORAM,2012,TOTAL,30
NAGALAND,2001,TOTAL,101
NAGALAND,2002,TOTAL,100
NAGALAND,2003,TOTAL,91
NAGALAND,2004,TOTAL,70
NAGALAND,2005,TOTAL,87
NAGALAND,2006,TOTAL,123
NAGALAND,2007,TOTAL,111
NAGALAND,2008,TOTAL,143
NAGALAND,2009,TOTAL,46
NAGALAND,2010,TOTAL,45
NAGALAND,2011,TOTAL,46
NAGALAND,2012,TOTAL,75
ODISHA,2001,TOTAL,987
ODISHA,2002,TOTAL,1075
ODISHA,2003,TOTAL,1044
ODISHA,2004,TOTAL,1066
ODISHA,2005,TOTAL,1079
ODISHA,2006,TOTAL,1159
ODISHA,2007,TOTAL,1210
ODISHA,2008,TOTAL,1250
ODISHA,2009,TOTAL,1250
ODISHA,2010,TOTAL,1308
ODISHA,2011,TOTAL,1477
ODISHA,2012,TOTAL,1548
PUDUCHERRY,2001,PONDICHERRY,25
PUDUCHERRY,2001,TOTAL,25
PUDUCHERRY,2002,PONDICHERRY,29
PUDUCHERRY,2002,TOTAL,29
PUDUCHERRY,2003,PONDICHERRY,29
PUDUCHERRY,2003,TOTAL,29
PUDUCHERRY,2004,PONDICHERRY,25
PUDUCHERRY,2004,TOTAL,25
PUDUCHERRY,2005,PONDICHERRY,19
PUDUCHERRY,2005,TOTAL,19
PUDUCHERRY,2006,TOTAL,30
PUDUCHERRY,2007,TOTAL,34
PUDUCHERRY,2008,TOTAL,35
PUDUCHERRY,2009,TOTAL,37
PUDUCHERRY,2010,TOTAL,33
PUDUCHERRY,2011,PUDUCHERRY,32
PUDUCHERRY,2011,TOTAL,32
PUDUCHERRY,2012,TOTAL,29
PUNJAB,2001,TOTAL,738
PUNJAB,2002,TOTAL,733
PUNJAB,2003,TOTAL,731
PUNJAB,2004,TOTAL,775
PUNJAB,2005,TOTAL,713
PUNJAB,2006,TOTAL,817
PUNJAB,2007,TOTAL,760
PUNJAB,2008,TOTAL,769
PUNJAB,2009,TOTAL,853
PUNJAB,2010,TOTAL,907
PUNJAB,2011,TOTAL,842
PUNJAB,2012,TOTAL,855
RAJASTHAN,2001,TOTAL,1259
RAJASTHAN,2002,TOTAL,1276
RAJASTHAN,2003,TOTAL,1262
RAJASTHAN,2004,TOTAL,1279
RAJASTHAN,2005,TOTAL,1221
RAJASTHAN,2006,TOTAL,1209
RAJASTHAN,2007,TOTAL,1303
RAJASTHAN,2008,TOTAL,1297
RAJASTHAN,2009,TOTAL,1395
RAJASTHAN,2010,TOTAL,1421
RAJASTHAN,2011,TOTAL,1461
RAJASTHAN,2012,TOTAL,1461
SIKKIM,2001,TOTAL,19
SIKKIM,2002,TOTAL,13
SIKKIM,2003,TOTAL,14
SIKKIM,2004,TOTAL,16
SIKKIM,2005,TOTAL,8
SIKKIM,2006,TOTAL,21
SIKKIM,2007,TOTAL,9
SIKKIM,2008,TOTAL,9
SIKKIM,2009,TOTAL,19
SIKKIM,2010,TOTAL,17
SIKKIM,2011,TOTAL,14
SIKKIM,2012,TOTAL,7
TAMIL NADU,2001,TOTAL,1662
TAMIL NADU,2002,TOTAL,1723
TAMIL NADU,2003,TOTAL,1591
TAMIL NADU,2004,TOTAL,1479
TAMIL NADU,2005,TOTAL,1440
TAMIL NADU,2006,TOTAL,1363
TAMIL NADU,2007,TOTAL,1633
TAMIL NADU,2008,TOTAL,1759
TAMIL NADU,2009,TOTAL,1776
TAMIL NADU,2010,TOTAL,1875
TAMIL NADU,2011,TOTAL,1877
TAMIL NADU,2012,TOTAL,1949
TRIPURA,2001,TOTAL,240
TRIPURA,2002,TOTAL,201
TRIPURA,2003,TOTAL,254
TRIPURA,2004,TOTAL,189
TRIPURA,2005,TOTAL,121
TRIPURA,2006,TOTAL,154
TRIPURA,2007,TOTAL,138
TRIPURA,2008,TOTAL,155
TRIPURA,2009,TOTAL,133
TRIPURA,2010,TOTAL,150
TRIPURA,2011,TOTAL,163
TRIPURA,2012,TOTAL,124
UTTAR PRADESH,2001,TOTAL,7601
UTTAR PRADESH,2002,TOTAL,6825
UTTAR PRADESH,2003,TOTAL,5284
UTTAR PRADESH,2004,TOTAL,6126
UTTAR PRADESH,2005,TOTAL,5711
UTTAR PRADESH,2006,TOTAL,5480
UTTAR PRADESH,2007,TOTAL,5000
UTTAR PRADESH,2008,TOTAL,4564
UTTAR PRADESH,2009,TOTAL,4534
UTTAR PRADESH,2010,TOTAL,4401
UTTAR PRADESH,2011,TOTAL,4951
UTTAR PRADESH,2012,TOTAL,4966
UTTARAKHAND,2001,TOTAL,316
UTTARAKHAND,2002,TOTAL,292
UTTARAKHAND,2003,TOTAL,268
UTTARAKHAND,2004,TOTAL,262
UTTARAKHAND,2005,TOTAL,279
UTTARAKHAND,2006,TOTAL,274
UTTARAKHAND,2007,TOTAL,268
UTTARAKHAND,2008,TOTAL,223
UTTARAKHAND,2009,TOTAL,195
UTTARAKHAND,2010,TOTAL,176
UTTARAKHAND,2011,TOTAL,178
UTTARAKHAND,2012,TOTAL,217
WEST BENGAL,2001,TOTAL,1594
WEST BENGAL,2002,TOTAL,1444
WEST BENGAL,2003,TOTAL,1425
WEST BENGAL,2004,TOTAL,1425
WEST BENGAL,2005,TOTAL,1453
WEST BENGAL,2006,TOTAL,1425
WEST BENGAL,2007,TOTAL,1652
WEST BENGAL,2008,TOTAL,1811
WEST BENGAL,2009,TOTAL,2068
WEST BENGAL,2010,TOTAL,2398
WEST BENGAL,2011,TOTAL,2109
WEST BENGAL,2012,TOTAL,2252
